Place	Bib	Name	Team	Time
94th	222	Max Meyer	3T | Q+M	8h 30m 48.96s
95th	442	Tim Zandbergen	Rock N Road / Simple Green	8h 30m 59.46s
96th	691	Jack Odron	Waite Endurance	8h 32m 03.40s
97th	1234	William Rhatigan	Cold Sprint Park Racing	8h 32m 38.03s
98th	1378	Eric Bierman	Ninety7	8h 32m 51.59s
99th	423	Martin Rushworth	Tres Leches	8h 33m 49.82s
100th	1048	Jan Kolar	Coureur	8h 35m 43.19s
101st	267	Johnny Haygood	420 Racing	8h 35m 45.33s
102nd	420	Scott Rollins		8h 35m 57.41s
103rd	232	Jeffrey Roy	Courier	8h 36m 43.45s
104th	626	Zachary Colwell	Cal Poly Cycling	8h 38m 34.24s
105th	878	Jeffrey Conley	Adventure Medical Group	8h 38m 37.86s
106th	1392	Julian Diaz	Velosport Junior & U23 Development	8h 39m 01.36s
107th	439	Bergen West	Cinch	8h 40m 21.88s
108th	326	Thomas Wold		8h 41m 08.00s
109th	798	Sebastian Alzate	Revolt Cyclery	8h 41m 17.40s
110th	1393	Joseph Emmerling		8h 42m 10.27s
111th	378	Collin Huston		8h 42m 48.98s
112th	234	Bjorn Selander	Bianchi	8h 44m 08.99s
113th	203	Grant Simonds	Above and Beyond Cancer	8h 44m 13.72s
114th	60	Eddie Monnier	Sisu Racing	8h 45m 28.02s
115th	308	Jiri Senkyrik		8h 45m 42.95s
116th	707	Andrew Seifert		8h 46m 44.73s
117th	1447	Riley Oneal		8h 46m 54.73s
118th	377	Rob Hunt	Monster Racing	8h 47m 27.34s
119th	340	Jamie Bestwick	Monster Energy - Toyota - Stans No Tubes - Teravail - Kogel Bearings	8h 47m 47.06s
120th	280	Mark Miller	AQR Veloworx	8h 48m 31.70s
121st	1429	Andrew Jackson	Canyon	8h 48m 51.86s
122nd	1397	Coley King	Veloworx	8h 49m 30.55s
123rd	20	Rahsan Bahati		8h 49m 46.96s
124th	109	Zachary MacDonald		8h 50m 26.67s
125th	395	Chad McKonly	Leitner RIGd	8h 50m 50.35s
126th	620	John Burchmore	XXX Racing-Athletico	8h 51m 03.68s
127th	1129	Esteban Mejia	Revolt Cyclery	8h 51m 55.34s
128th	62	Mitchell Snyder		8h 51m 57.99s
129th	126	Travis Stone	Athletic Training by Travis Stone	8h 52m 21.00s
130th	658	Ben Herken	Super Sprinkles p/b FatCake	8h 52m 25.65s
131st	371	Bryan Hoadley	R4R - Make-A-Wish	8h 52m 54.12s
132nd	465	Thomas Brown	Gravelstoke Development Team	8h 53m 02.56s
133rd	1032	Witold Jurewicz	WM9W	8h 53m 44.11s
134th	376	Michael Huggins		8h 53m 52.54s
135th	50	Liam Woods		8h 54m 20.48s
136th	446	Juan Alvergue	Coureur	8h 54m 20.95s
137th	520	Kyle Kilmartin	Team SIX	8h 54m 23.72s
138th	927	Ben Farver	Argonaut Cycles	8h 56m 20.55s
139th	622	Andrew Carr	Cal Poly Cycling	8h 56m 20.97s
140th	853	Alex Candelario	Argonaut Cycles	8h 56m 21.02s
141st	375	Rich Hufford		8h 56m 22.14s
142nd	440	Scott Witthoff	Fusion Sport	8h 56m 28.12s
143rd	287	Gannon Myall	Coureur cycling PB Spinergy	8h 57m 13.40s
144th	645	Michael Gibbs	Firestone Walker Racing	8h 57m 16.08s
145th	441	Craig Workman	Matador Cycling Team	8h 57m 36.38s
146th	703	Thomas Reed	Movelo	8h 58m 19.89s
147th	487	Alec Eror	Red Rock Cycling Team	8h 58m 27.46s
148th	594	Mitchell Werth	Plant Powered Racing	8h 58m 50.34s
149th	505	Nathan Hatfield	Coureur	9h 00m 00.23s
150th	52	Jon Bula	Bicicletta Factory Racing	9h 01m 11.67s
151st	407	Eric Palacio	Baring Performance Management	9h 02m 04.11s
152nd	1382	Anthony Little		9h 02m 19.74s
153rd	1387	David Baar	Plant Power Racing p/b Plant Athletic	9h 02m 38.74s
154th	54	David Haase	Attitude Sports	9h 03m 13.15s
155th	254	Benjamin Cook		9h 03m 18.13s
156th	383	Kyle Johnson	Kyle Johnson Racing	9h 03m 22.79s
157th	552	Craig Northway	Velotown Racing	9h 04m 47.00s
158th	565	Maxwell Rye		9h 05m 34.92s
159th	353	Morrison David		9h 05m 35.97s
160th	102	Collin Foxley	Adams Avenue Bicycles	9h 05m 37.07s
161st	943	Austin Foxley	Fount Cycling Guild	9h 05m 37.11s
162nd	44	Joseph Schmalz	Steve Tilford Foundation	9h 06m 20.23s
163rd	38	Adam Mills	Source Endurance	9h 06m 20.52s
164th	1426	Shawn Huber		9h 06m 28.41s
165th	886	Ethan Cramer		9h 07m 21.60s
166th	398	Samuel Mejia	Revolt Cyclery	9h 07m 51.37s
167th	1434	Aaron Pankratz		9h 08m 11.81s
168th	574	Steve Stalgren		9h 08m 12.10s
169th	1157	John Napolitano		9h 09m 00.28s
170th	1390	Joseph Staron	Excel Sports/Touchstone Racing	9h 09m 40.19s
171st	735	Bryan Wiertzema		9h 09m 40.81s
172nd	410	Erick Pierce		9h 09m 42.01s
173rd	386	Bill Karras	Bicycle Ranch Tucson Racing p/b Ell Group Real Estate	9h 09m 42.09s
174th	634	Taylor Dolbin	Ascent	9h 09m 47.07s
175th	85	Shaun Lennox		9h 09m 57.17s
176th	1113	Cory Mayfield		9h 10m 02.98s
177th	208	Gerry Cody	Team Dream Bicycling Team, Hot Wheels Cycling	9h 11m 56.27s
178th	382	Jonatan Jatombliansky	Dolce Vita Cycling	9h 12m 08.71s
179th	686	Grant Newman		9h 12m 32.07s
180th	848	Mike Cabigon	Pedalhead Race Room	9h 12m 40.28s
181st	415	Mark Riedy	Canyon Bikes	9h 12m 54.22s
182nd	451	Juan Araya	Celo pacific	9h 12m 55.61s
183rd	242	John Bergamo		9h 14m 00.95s
184th	662	Todd Hunsaker	Imperium/BikeFix	9h 14m 27.56s
185th	792	Eric Abbott		9h 14m 49.36s
186th	1430	Nick Stoner		9h 14m 54.75s
187th	811	Matt Baker		9h 16m 32.42s
188th	525	Brad Knox	Team Rhino / Eliel Factory Team	9h 17m 04.70s
189th	84	Lewis Elliott		9h 17m 08.42s
190th	1411	Samuel Hueso	Ruta 7	9h 18m 05.65s
191st	46	Ben Stafford		9h 18m 38.60s
192nd	258	Alvin Escajeda	Endo Concept Team	9h 19m 09.31s
193rd	325	Reed Williams		9h 20m 21.39s
194th	1400	Nick Spano		9h 20m 21.46s
195th	1286	Darren Smith	VeloNutz	9h 21m 07.39s
196th	70	Maison Chen	Coureur	9h 21m 09.50s
197th	966	Charlie Gilmore	The Path Bike Shop	9h 21m 11.50s
198th	544	Cooper Mortenson		9h 21m 15.51s
199th	1108	Luke Mas		9h 22m 48.91s
200th	352	Francois David	Unity Gravel	9h 22m 49.24s
201st	514	Sasa Ivetic	Prairie Fire Racing	9h 22m 56.34s
202nd	1002	Jason Hole	On A Bike	9h 22m 56.54s
203rd	1291	David Stanfield	General Mechanical Inc	9h 24m 19.00s
204th	1171	Kelly O'Donnell	Coureur	9h 24m 29.19s
205th	695	Brent Peluso	Cal Poly Cycling	9h 24m 57.03s
206th	1016	Todd Jackson	AK Athlete	9h 25m 03.47s
