Place	Bib	Name	Team	Time
436th	1014	Lenard Isaacs		10h 42m 57.60s
437th	1404	Davis Green		10h 43m 55.71s
438th	1300	Eric Sun		10h 45m 06.17s
439th	322	Christopher Vitton	Primal Audi Denver	10h 45m 32.84s
440th	1027	Brian Jollie	Rub Thy Nip	10h 45m 38.44s
441st	654	Holden Hammontree		10h 46m 26.54s
442nd	581	Alfred Thresher	RED BURRO RACING	10h 46m 26.85s
443rd	582	Christopher Thresher		10h 46m 36.48s
444th	1026	Rob Johnston		10h 46m 38.01s
445th	555	Roger Ortiz	Stage 2 Cyclery / BOSCH pb Primal	10h 46m 47.27s
446th	1288	Brett South		10h 46m 47.89s
447th	984	Pike Harris		10h 46m 48.05s
448th	1136	Ben Minicucci	Alaska Airlines	10h 47m 06.05s
449th	857	Bill Carper	BSS Northwest	10h 47m 06.20s
450th	90	Michael Lopez		10h 47m 07.47s
451st	1394	Joe Galope	Super Colon Blow	10h 47m 17.14s
452nd	1012	Jonas Iggbom		10h 48m 03.41s
453rd	826	Jonathan Blakeslee		10h 48m 05.39s
454th	1365	Michael Yip	Coureur	10h 48m 33.51s
455th	1262	Brian Sappington		10h 48m 34.39s
456th	747	Rob Callahan		10h 48m 40.81s
457th	1092	Ian MacFarlane		10h 48m 43.09s
458th	803	Don Ankeny	Coureur	10h 49m 28.68s
459th	898	Daniel Davisson	Canyon Velo	10h 49m 58.96s
460th	121	Robert Frank	Corridor Recycling	10h 50m 14.84s
461st	472	Chris Collins		10h 50m 15.17s
462nd	576	D Chad Strickland	NICH +SpeedClub X Wahoo	10h 50m 34.76s
463rd	471	Ron Ciano	Eliel Factory Team	10h 50m 36.69s
464th	698	Josh Rafshoon		10h 51m 26.52s
465th	941	Garrett Fountain	Velo Nubtz	10h 52m 35.16s
466th	35	Justin Diamond	Ventum	10h 52m 46.57s
467th	1454	Dave Brillhart		10h 52m 48.49s
468th	1449	Jeff Paulson	Spinergy / Gravelstoke	10h 52m 50.11s
469th	1176	Brandon Osullivan		10h 52m 53.51s
470th	292	Michael Pallisco		10h 52m 55.24s
471st	1464	Jesse Paster	La Grange	10h 52m 59.01s
472nd	1247	Anthony Rodriguez		10h 53m 05.94s
473rd	876	Eric Combes	VeloNutz	10h 53m 06.54s
474th	426	Kent Smith		10h 54m 13.45s
475th	768	Joseph Lapenna	Super Sprinkles p/b Fat Cake	10h 54m 21.28s
476th	745	Raul Boesch	Capital cycling club	10h 54m 25.93s
477th	1058	Byron Lamarque		10h 54m 26.87s
478th	1213	Marq Prince	Champion Factory Coaching	10h 54m 29.24s
479th	673	Dylan Loomis		10h 55m 47.77s
480th	1271	Zachary Sellers		10h 55m 51.47s
481st	669	David Kwon	La Habros	10h 56m 04.31s
482nd	1046	Sung Ko	Maverick	10h 56m 06.70s
483rd	752	Luis Cuadrado	RCC	10h 56m 07.27s
484th	125	Ed Moon	Splunk Race Team	10h 56m 11.52s
485th	926	Michael Fargher	Pop Wheelies Not Mollies	10h 56m 49.61s
486th	1412	Kit Knox	Ranchos	10h 57m 03.52s
487th	851	John Camerino	Ranchos Cycling Team	10h 57m 03.55s
488th	982	Greg Harkins		10h 57m 09.59s
489th	1115	Luis Maza		10h 57m 18.06s
490th	1278	Peter Sibley		10h 57m 26.15s
491st	932	Bryan Felsher	Cinch	10h 57m 29.03s
492nd	537	Geoff Mather	NMVS	10h 57m 30.19s
493rd	1270	Ryan Schuder	VeloNutz	10h 57m 30.92s
494th	891	Gabriel D. Ortega	Chosen	10h 58m 15.39s
495th	1333	Greg Walor		10h 58m 57.54s
496th	548	Dylan Nerren	Monster Racing	10h 59m 04.21s
497th	983	J Harris	San Diego County Firefighters Endurance Sports Team	10h 59m 05.24s
498th	742	Arturo Becerra	SDFD	10h 59m 06.01s
499th	897	Scott Dault		10h 59m 13.98s
500th	959	Stephan Gaspar		10h 59m 14.06s
501st	467	Bill Carlson	AXIOM-BikeLegal powered by ALE	11h 00m 01.24s
502nd	564	Russ Rodriguez	INTEGRITY RIDERZ	11h 00m 19.71s
503rd	1372	Paul Zidron		11h 00m 23.81s
504th	625	Scott Clark	GU Energy	11h 00m 26.13s
505th	1138	Gary Mitchell	Terminal Riders	11h 01m 09.97s
506th	754	Greg Dungca		11h 01m 11.54s
507th	87	Eric Sun	Orange Vise	11h 01m 12.51s
508th	252	Emilio Cervantes	949 Racing	11h 01m 18.21s
509th	1052	Allan Kristensen		11h 02m 23.48s
510th	1274	Gregory Shaw		11h 02m 26.57s
511th	911	Justin Drummond		11h 03m 30.09s
512th	720	Caleb Sunde	Brodeo Social	11h 03m 49.58s
513th	618	Andrew Brightman	Coureur presented by Spinergy	11h 03m 51.67s
514th	394	Andy McClure	Cannondale / Birdworkx pb Hammer Nutrition	11h 03m 52.18s
515th	889	David Cummings	VeloNutz	11h 03m 52.31s
516th	723	Jeremy Sweeten	TEAM STAGES	11h 03m 57.49s
517th	1223	John Ramsden	Steed Cycles, Red Truck Racing	11h 04m 00.41s
518th	1222	Blake Ramsden	Steed Cycles	11h 04m 01.34s
519th	812	Casimir Bamberger	Tri Club San Diego	11h 04m 58.50s
520th	1182	Alexander Pan		11h 05m 29.84s
521st	1074	Lee Lewis	Team S.I.P.	11h 05m 36.22s
522nd	664	Richard Johnson	Team Stages Cycling	11h 06m 22.70s
523rd	831	Brian Bottino	VeloNutz	11h 06m 54.40s
524th	1130	Eli Merrell		11h 06m 55.16s
525th	1369	Tim Young		11h 06m 59.73s
526th	1405	Brandon Henkel	Fast Brick Dumpster House Racing Fire	11h 07m 09.77s
527th	824	Ken Bitting		11h 07m 57.55s
528th	517	Theodore Jones	Keep It Casual Racing/Befitting Bicycles	11h 07m 59.38s
529th	435	Robin Van Valkenburgh	Coureur: Canyon Elite Cycling Team	11h 08m 19.38s
530th	370	Michael Hines	Velotown Racing	11h 08m 31.95s
531st	1049	Jeff Kopp		11h 08m 32.04s
532nd	94	Geoffrey Cleveland		11h 09m 19.15s
533rd	905	Juanse Diaz	Melody Farms Cycling	11h 09m 29.62s
534th	595	John Wiberg		11h 09m 52.27s
535th	569	Matt Skelton		11h 10m 49.16s
536th	93	Hermie Banaga	VeloNutz	11h 11m 00.27s
537th	1388	Trent Donat	Pastaria-Big Shark Racing	11h 12m 09.50s
538th	1341	Eric Westphal	Zoot	11h 12m 14.00s
539th	1267	Michael Scarduzio	WM9W	11h 12m 19.07s
540th	1147	Marcelo Morales	UISI CT	11h 12m 30.71s
541st	868	Ricardo Cienfuegos P		11h 12m 35.20s
542nd	780	Matthew Normand	San Diego Bicycle Club	11h 15m 10.62s
543rd	728	Seth Van Doren		11h 15m 19.06s
544th	1280	James Simpson		11h 16m 20.37s
545th	866	Robert Chung	Yogi Triathlete	11h 16m 28.56s
546th	904	Brett Dewire	Portrero Trader Operators Coffee Roasters	11h 16m 41.16s
547th	1276	Gary Shockey	PTO COFFEE	11h 16m 42.97s
548th	843	Matt Bruner	VeloNutz	11h 16m 49.54s
549th	861	Nate Chang		11h 16m 50.10s
550th	653	Noah Halpern		11h 16m 56.34s
551st	110	Manuel Martinez	Border Cycle	11h 17m 11.04s
552nd	1143	Brett Montgomery		11h 17m 23.47s
553rd	1471	Tony Aburaad		11h 17m 25.67s
554th	1409	Edgar Ferrer Chavarria		11h 17m 56.59s
555th	828	Adam Blish		11h 18m 25.63s
556th	1041	Hoon Kim		11h 18m 54.71s
557th	1105	Oliver Martinez	Mochi Gang	11h 19m 17.10s
558th	615	Cody Beyer	Whole Ass Effot	11h 19m 55.61s
559th	1009	Grady Howes		11h 20m 00.52s
560th	925	Dan Evans	LHM Cyclery	11h 20m 28.97s
561st	1140	Ryan Money		11h 20m 29.56s
562nd	921	Dustin England		11h 20m 29.63s
563rd	764	Rick Hoyt	Spa city cycling	11h 21m 10.74s
564th	597	Jeremy Wire		11h 21m 35.67s
565th	1017	Dylan Jackson		11h 23m 13.91s
566th	1408	Scott Daniel		11h 23m 31.24s
567th	964	Michael Geuss		11h 23m 32.82s
568th	528	Norm Brian Martin Laird	G.S. Adams Avenue Bicycles dfL del Sur	11h 23m 33.71s
569th	1334	Boyu Wang		11h 23m 38.42s
570th	894	Stephen Dann	VeloNutz	11h 24m 23.03s
571st	951	Randall Galisky		11h 25m 25.27s
572nd	761	Patrick Hearst	Hearst	11h 25m 26.81s
573rd	830	Daniel Bonsoms		11h 25m 30.62s
574th	1010	Kenneth Hsiueh	Rusty Chain Ridaz	11h 25m 32.57s
575th	1170	Tony Nuccio		11h 26m 34.48s
576th	104	Simon Guerard		11h 27m 02.96s
577th	1312	Ernesto Torres		11h 27m 03.61s
578th	431	Mark Taylor		11h 27m 22.62s
579th	1056	Whitman Kwok	KAV	11h 27m 32.93s
580th	405	Marlon Olivares	Santa monica Gravel	11h 27m 52.11s
581st	1132	Jacob Mikrut		11h 28m 27.01s
582nd	508	Paul Hernandez	SoCal Cross TEAM	11h 28m 34.50s
583rd	722	Dalton Sweaney	Bros Ride Bikes	11h 28m 37.83s
584th	858	Chad Case		11h 28m 40.18s
585th	39	Cisco Moran	Team Roaring Mouse	11h 28m 42.17s
586th	829	Wade Blomgren		11h 28m 46.21s
587th	865	Walter Chui		11h 28m 55.51s
588th	274	Shawn Katz		11h 28m 56.50s
589th	1226	Eric Reed	La Mesa Rouleurs	11h 28m 58.17s
590th	82	Simon Edwards-parton	Alto Velo	11h 29m 02.90s
591st	1229	Tyler Reid		11h 29m 04.86s
592nd	991	Andre Helms		11h 29m 09.50s
593rd	1311	Hao Ton-that	VeloNutz	11h 30m 15.75s
594th	516	Jeffrey Johnson	DRV / Van Dessel	11h 30m 16.41s
595th	1193	Rob Peterson	VeloNutz	11h 30m 33.76s
596th	636	Robert Ellis	US Military Endurance Sports	11h 30m 46.52s
597th	1201	Doug Pitchford		11h 31m 59.03s
598th	1013	Mitchell Ikemoto		11h 31m 59.29s
599th	541	Alejandro Mendoza		11h 32m 00.72s
600th	856	Juan Carlos		11h 32m 09.37s
601st	603	John Zunino	Fun Sport Bike Cycling	11h 32m 43.93s
602nd	801	Michael Anger		11h 33m 31.99s
603rd	1299	Steven Sullivan	VeloNutz	11h 33m 35.37s
604th	1396	John Holcomb	United States Military Endurance Sports	11h 34m 10.22s
605th	1236	Patrick Ribera-mckay	Pivot Cycles	11h 34m 10.31s
606th	1214	Paul Pruschki	Descenders	11h 34m 16.39s
607th	651	Kevin Grundmann		11h 34m 16.91s
608th	445	Marc Aguilar	Coureur - Canyon Elite Cycling	11h 34m 21.66s
609th	663	Kent Johnson	Quad Cities Gravel Cycling Degenerates	11h 35m 48.16s
610th	1320	Gideon Van Oudtshoorn	GVO	11h 35m 57.90s
611th	1126	Ian McLagan	TBB	11h 36m 00.75s
612th	1395	Andrew Hart	Bear Valley Bikes	11h 36m 34.74s
613th	1452	Timothy Wiedenfeld		11h 36m 37.26s
614th	1022	Travis Johnson	Coureur	11h 36m 37.80s
615th	490	Mark Fellows	Kinetic Cycles	11h 37m 48.77s
616th	362	David A. Francis, Esq.	Lifelaw	11h 37m 48.98s
617th	1103	Roger Marquez	Tres Leches/Highway 2	11h 38m 16.91s
618th	100	Robert Douglas		11h 38m 25.66s
619th	447	Charles Anderson	Origin	11h 38m 29.70s
620th	107	Peter Kaufman	This Note's For You	11h 38m 40.05s
621st	879	Reid Conti	Wolfpack Running Club	11h 38m 50.58s
622nd	1215	Ryan Puccinelli		11h 39m 11.49s
623rd	974	Matthew Gough		11h 39m 59.25s
624th	847	Alex Burr		11h 39m 59.66s
625th	1134	Matthew Miller		11h 40m 09.77s
626th	635	Max Eisenberg	UCLA	11h 40m 33.23s
627th	1178	Michael Overell		11h 40m 40.96s
628th	1082	Doug Lodmill	Eliel Factory Team	11h 41m 40.46s
629th	348	Gabriel Byrne	DFL	11h 42m 27.04s
630th	696	Jack Petersen	Eliel Factory Team	11h 43m 10.80s
631st	1152	Gregory Mundis	GLOBAL SPINE OUTREACH	11h 43m 45.87s
632nd	976	Jared Grieser	Struggling Cyclists	11h 43m 46.37s
633rd	1468	Eric Guerra		11h 43m 46.78s
634th	1220	Jorge Ramirez	RedZone/Boombaby	11h 43m 47.65s
635th	1224	Ed Rands		11h 43m 49.65s
636th	1008	Phillip Howerzyl		11h 43m 50.28s
637th	1007	Andy Howerzyl		11h 43m 51.71s
638th	758	Matthew Hale		11h 43m 55.33s
639th	810	Peter Aziz		11h 43m 56.66s
640th	1162	Truong Nguyen	CMDO	11h 43m 57.22s
641st	86	David Mitchell	Company	11h 44m 10.79s
642nd	1427	David Adams		11h 44m 18.15s
643rd	1194	Scott Petkanics		11h 44m 52.95s
644th	1159	Geoffrey Nelson		11h 45m 01.24s
645th	1018	Patrick James		11h 45m 17.52s
646th	1438	Jackson Daubner		11h 45m 23.44s
647th	1191	Kenneth Perrone		11h 45m 36.08s
648th	1259	Jason Sandquist	Every Man Jack	11h 45m 52.39s
649th	900	Martin Deegan		11h 46m 50.47s
650th	838	James Brown	Coyotes	11h 46m 53.28s
651st	800	Michael Ang	Coureur	11h 47m 12.90s
652nd	1305	Tony Thi	PV Breakfast Cycling Club	11h 47m 18.90s
653rd	819	Alex Bennett		11h 47m 22.04s
654th	1293	Jeffrey Stevanus	Big Orange	11h 47m 24.55s
655th	957	Adam Garling		11h 47m 25.74s
656th	1099	Philip Malashenko		11h 48m 08.19s
657th	1040	David Kim		11h 49m 23.44s
658th	388	Ray Lee	Big Orange	11h 49m 24.15s
659th	666	Kevin Kang	Maverick Cycles	11h 49m 27.47s
660th	511	Scott Hoyer	Neff Cycle Service	11h 49m 38.98s
661st	529	Mike Lamson		11h 49m 39.61s
662nd	108	Jonathan Levin	Flatlanders	11h 50m 39.52s
663rd	899	Mark Dawkins		11h 51m 04.72s
664th	1088	Christopher Lynch		11h 51m 04.82s
665th	1059	David Lancelot	Team Lancelot	11h 51m 07.52s
666th	96	Phil Coleman	Swamis	11h 51m 32.26s
667th	572	Ramon Solorzano	Wattage Cottage Cycling Club	11h 53m 31.13s
668th	1111	Jon Mawer		11h 54m 04.62s
669th	674	Johann Magana		11h 54m 46.93s
670th	461	Jake Brindle		11h 55m 03.92s
671st	1413	Jacob Lind	Bread and Butter Bicycle Club	11h 55m 29.93s
672nd	1257	Kevin Sagara	Gravelstoke Development Team	11h 55m 34.78s
673rd	1260	Johannes Santen		11h 55m 35.54s
674th	968	Kevin Godley		11h 56m 08.64s
675th	721	Jeff Swan	SJBC	11h 56m 15.56s
676th	103	Christopher Graves		11h 56m 21.49s
677th	751	Justin Cooper		11h 56m 31.53s
678th	1245	Scott Robles		11h 58m 30.11s
679th	1446	Zachary Hoover	Eliel Factory Team	11h 58m 36.61s
680th	1330	Nguyen Vo		11h 59m 01.54s
681st	1439	Jorge Pastrana		11h 59m 18.07s
682nd	1352	Adam Willner	Endurance PTC	11h 59m 21.08s
683rd	609	Daniel Antoon		11h 59m 28.63s
684th	1206	Mark Polizzi		12h 00m 44.70s
685th	450	Edgar Aragon Torres	Engine 11	12h 01m 45.98s
686th	1272	Matt Seo		12h 01m 46.04s
687th	862	Jon Charles		12h 02m 12.72s
688th	1051	Ramsey Krieps		12h 03m 06.05s
689th	919	Seth Eidemiller		12h 03m 40.67s
690th	1402	Harley Sarantos		12h 03m 49.63s
691st	786	Chris Schiffhauer		12h 03m 52.04s
692nd	584	Ty Tucker	Primal - Audi Denver	12h 04m 01.59s
693rd	1301	Peter Sutcliffe	Bread and Butter Bicycle Club	12h 05m 05.99s
694th	694	Jorge Parada		12h 05m 19.13s
695th	1423	Ron Wolfe		12h 05m 26.45s
696th	823	Robert Binder	Tustin Dirt Mafia	12h 05m 26.78s
697th	796	Rob Aitcheson		12h 05m 37.70s
698th	1205	Jeff Poitras		12h 06m 33.79s
699th	1003	Chris Holm		12h 06m 34.75s
700th	859	David Castellano		12h 09m 47.37s
701st	684	Chuck Morgan		12h 10m 04.54s
702nd	1252	Matthew Rorro		12h 10m 10.54s
703rd	908	Rick Dolezalek	Swami's	12h 10m 11.14s
704th	570	Chad Smith	Eliel Factory team	12h 10m 12.66s
705th	995	Justin Hill	Team ACR	12h 10m 15.18s
706th	683	Steven Morgan	Front Rangers	12h 11m 29.82s
707th	600	Lee Ziff	Velo Club La Grange	12h 12m 11.97s
708th	99	Daniel Dobbs		12h 12m 38.22s
709th	344	Tim Brewer	Team Brew	12h 12m 49.35s
710th	1275	Ray Shinzawa	Big Orange	12h 13m 34.92s
711th	1249	Satoru Rokuta	BIg Orange	12h 13m 36.77s
712th	1406	Grant Armenta	Ventum	12h 13m 38.95s
713th	845	Wuan Bui		12h 14m 34.18s
714th	950	Edwin Gackstetter		12h 15m 04.16s
715th	726	Ilya Tutski		12h 15m 21.32s
716th	1175	Jonathan Osland	Big Orange	12h 15m 22.63s
717th	443	Chris Ackerman	UCLA Cycling	12h 15m 26.18s
718th	1317	Derek Vail		12h 15m 27.74s
719th	825	Erik Bjork		12h 15m 27.82s
720th	1371	Danny Zhou		12h 15m 50.61s
721st	1004	Koji Honda		12h 15m 53.69s
722nd	1329	James Vo	EFT	12h 16m 43.95s
723rd	1079	Dan Lillis		12h 16m 44.75s
724th	1030	Tommy Jones		12h 16m 44.98s
725th	1078	Casey Lillis		12h 16m 52.19s
726th	1433	Stephen Healey		12h 16m 55.71s
727th	893	Durwin Daniels		12h 17m 15.37s
728th	1450	Geoff Glaeser		12h 17m 17.04s
729th	1005	Shige Honjo		12h 17m 24.39s
730th	1163	Leigh Nicholson		12h 18m 52.52s
731st	676	Alain Mazer		12h 22m 03.05s
732nd	1160	Mark Nessia		12h 22m 12.16s
733rd	1000	Nathan Hodges	Eliel Factory Team	12h 22m 13.61s
734th	1064	An Le	Team Giant	12h 22m 15.88s
735th	963	Joseph Gawor		12h 22m 29.39s
736th	337	Frank Bayr	CYCLEOGICAL	12h 23m 40.61s
737th	973	Chris Goodman		12h 23m 47.35s
738th	1087	Jorge Antonio Lucio		12h 24m 07.19s
739th	68	Kenneth Bagley		12h 24m 14.14s
740th	1285	Loren Smith	Adobo Velo	12h 24m 30.42s
741st	496	Gordon Good	SunPower Racing	12h 25m 01.62s
742nd	759	Paul Hamerton-kelly	Stumptown Cycling Club	12h 26m 38.54s
743rd	1200	Robert Pisciotta		12h 26m 57.55s
744th	1425	John Fuller	iGregari	12h 28m 00.79s
745th	766	Joshua Jones		12h 28m 01.66s
746th	732	Eli Watson	Bros Ride Bikes	12h 28m 09.63s
747th	463	Dominick Brookes	Freakshow Wines	12h 28m 21.22s
748th	1346	Trevor Wilcox	FLO Factory Team	12h 29m 37.86s
749th	1421	Rafael Torres	Pedals and Pints Brew Crew (PPBC)	12h 29m 38.18s
750th	888	Nicholas Cuadras		12h 29m 40.09s
751st	140	Jacob Robertson		12h 29m 41.11s
752nd	1219	Casey Ralston	Pedals n Pints	12h 29m 47.43s
753rd	934	Riley Finch		12h 29m 53.00s
754th	114	Nicolas Zafiroglu		12h 29m 54.75s
755th	928	Brian Feick	Trapline Speed Club	12h 29m 55.52s
756th	930	David Feick		12h 30m 00.00s
757th	1047	Yung-pei Ko	UCLA cycling team	12h 33m 26.53s
758th	708	David Setton	Splunk	12h 34m 24.20s
759th	1283	Rodney Small		12h 34m 40.53s
760th	1250	Lucas Romriell		12h 36m 09.04s
761st	285	Ram Moskowitz		12h 36m 17.55s
762nd	1460	Guy Zukerman		12h 36m 18.08s
763rd	994	Juan Hernandez		12h 36m 19.84s
764th	1116	Mike McAdams	God Hates A Coward!	12h 36m 21.94s
765th	821	Rudi Berden		12h 37m 32.64s
766th	652	Andy Haggerty		12h 37m 39.30s
767th	730	Alejandro Vasquez		12h 38m 24.57s
768th	906	Ed Diaz		12h 38m 24.62s
769th	901	Leo Del Rosario		12h 40m 30.99s
770th	613	Bill Begg	Panache / Houndstooth Racing	12h 40m 37.97s
771st	1348	Steven Williams	Moment Bicycles	12h 40m 55.09s
772nd	1060	Mike Lapine		12h 42m 19.44s
773rd	833	Matt Bradley		12h 42m 55.98s
774th	1359	Alexander Wood-thomas		12h 51m 14.75s
775th	890	David Cuyco		12h 55m 26.04s
776th	575	Bryan Staub	VR7 Cycling Apparel	12h 56m 22.48s
777th	494	Jason Gersting	Knobbe Cycling	12h 57m 09.58s
778th	704	Hugo Rico	3P TRI TEAM	13h 03m 51.44s
779th	749	Steve Colford		13h 04m 00.73s
780th	1031	Alan Jung	Eliel Factory Team	13h 04m 06.12s
781st	1310	Kayton Tomaszyk	Gravelstoke	13h 04m 33.49s
782nd	1294	John Stewart	Team CPR	13h 06m 22.19s
783rd	1084	Scott Long		13h 06m 51.82s
784th	953	Arthur Gamirov		13h 06m 59.78s
785th	1091	Jeff MacAroa		13h 07m 03.63s
786th	69	Jerry Bueno	787 Racing	13h 08m 38.19s
787th	1264	Marcel Saulis		13h 08m 39.66s
788th	716	Austin Spitzer		13h 08m 42.09s
789th	1461	Alexander Leu	RCCLA	13h 08m 42.25s
790th	1187	Will Paul		13h 09m 00.69s
791st	1150	Ryan Morton		13h 09m 05.93s
792nd	916	Jack Eastin		13h 09m 16.24s
793rd	1273	Lance Shaw	Dirty Mouseketeers	13h 09m 43.72s
794th	1251	Greg Ronk		13h 10m 09.66s
795th	589	Miki Vuckovich	Coureur - Canyon Elite Cycling	13h 13m 46.31s
796th	1038	Alex Kikendall		13h 14m 33.71s
797th	1453	Andres Lopez	CSD	13h 14m 43.03s
798th	1153	David Munguia		13h 15m 04.36s
799th	1097	Jon Magistro	Rodeo Labs	13h 16m 48.41s
800th	688	Terry Nilsen		13h 17m 37.10s
801st	384	Stephen Jones		13h 17m 37.34s
802nd	939	Stephen Ford		13h 21m 19.11s
803rd	1050	Konstantin Kouznetsov	Bad Ass Southern California Cyclists	13h 23m 19.78s
804th	1216	Stephen Quinn		13h 29m 50.10s
805th	938	Terry Ford	Bit of this, bit of that…	13h 31m 40.14s
806th	874	Jake Coleman	Team Pistol Racing	13h 32m 00.02s
807th	846	Samuel Burns	Team FKW	13h 32m 00.06s
808th	1340	Arthur Westphal	IRONWEST	13h 34m 12.70s
809th	650	Frank Grgurina	Splunk Race Team	13h 34m 31.32s
810th	331	Giuseppe Amendola		13h 42m 55.91s
811th	418	Frank Roca		13h 42m 56.47s
812th	328	Jose Aguilar		13h 42m 57.76s
813th	1066	John Lee	CCG/EFT/GSDT/ENVE	13h 43m 08.76s
814th	794	Edward Addleson	Cranky Chain Gang	13h 44m 56.65s
815th	980	Greg Hardes		13h 46m 46.11s
816th	1154	Bryan Munson		13h 47m 44.10s
817th	1199	Bill Pinnell	ElliptiGO	18h 54m 20.68s
dnf	219	Cole Kessler	Israel Premier Tech	checkpoint missed
dnf	1230	Nicholas Reilly		checkpoint missed
dnf	519	John Killeen	HCHB	checkpoint missed
dnf	215	Kyle Jax	EVIL	checkpoint missed
dnf	1167	Daniel Norwood		checkpoint missed
dnf	744	Jonathan Bernbaum	Dolce Vita Cycling p/b SL2	checkpoint missed
