Place	Bib	Name	First name	Last name	Team name	Category	Time	Difference	% Back	% Winning	% Average	% Median
222	161	Christopher Hempel	Christopher	Hempel		Grande	6:49:48.6	+2:44:39.5	+67.17%	59.82%	-20.27%	-22.25%
223	216	Jc Leveque	JC	Leveque		Grande	6:49:49.3	+2:44:40.2	+67.17%	59.82%	-20.27%	-22.25%
224	446	Joseph Brown	Joseph	Brown	Methow Cycle and Sport	Grande	6:51:01.8	+2:45:52.7	+67.66%	59.64%	-20.63%	-22.61%
225	236	Todd Mason	Todd	Mason		Grande	6:53:00.4	+2:47:51.3	+68.47%	59.36%	-21.21%	-23.20%
226	364	Nikolai Slioussar	Nikolai	Slioussar	Fount Cycling Guild	Grande	6:55:01.0	+2:49:51.9	+69.29%	59.07%	-21.80%	-23.80%
227	157	Cody Hamby	Cody	Hamby	REI Co-op	Grande	6:56:08.5	+2:50:59.4	+69.75%	58.91%	-22.13%	-24.14%
228	227	Chris Mahan	Chris	Mahan	Fell Swoop	Grande	6:56:09.1	+2:51:00.0	+69.75%	58.91%	-22.13%	-24.14%
229	307	Andrew Posner	Andrew	Posner		Grande	6:56:09.7	+2:51:00.6	+69.76%	58.91%	-22.13%	-24.14%
230	144	Robert Gresham	Robert	Gresham		Grande	6:58:25.2	+2:53:16.1	+70.68%	58.59%	-22.79%	-24.82%
231	186	Stephen Jones	Stephen	Jones		Grande	6:59:13.5	+2:54:04.4	+71.01%	58.48%	-23.03%	-25.06%
232	285	Mike O'Hagan	Mike	O'Hagan	Team O'Hagan	Grande	6:59:14.2	+2:54:05.1	+71.01%	58.48%	-23.03%	-25.06%
233	404	Brian Volkert	Brian	Volkert	Team Double Check	Grande	6:59:42.2	+2:54:33.1	+71.20%	58.41%	-23.17%	-25.20%
234	384	Steve Tauscheck	Steve	Tauscheck		Grande	6:59:44.1	+2:54:35.0	+71.21%	58.41%	-23.18%	-25.21%
235	290	Philip Ouellette	Philip	Ouellette		Grande	7:02:51.3	+2:57:42.2	+72.49%	57.98%	-24.10%	-26.14%
236	72	Jeffrey Cain	Jeffrey	Cain		Grande	7:06:16.3	+3:01:07.2	+73.88%	57.51%	-25.10%	-27.16%
237	179	Pat Hutchens Ii	Pat	Hutchens II	Cycle Therapy	Grande	7:08:13.4	+3:03:04.3	+74.68%	57.25%	-25.67%	-27.74%
238	230	Jeff Maloney	Jeff	Maloney	Cycle Therapy	Grande	7:08:16.1	+3:03:07.0	+74.70%	57.24%	-25.68%	-27.75%
239	375	David Stewart	David	Stewart	Phred	Grande	7:08:39.5	+3:03:30.4	+74.85%	57.19%	-25.80%	-27.87%
240	211	Joseph Lee	Joseph	Lee		Grande	7:09:42.3	+3:04:33.2	+75.28%	57.05%	-26.11%	-28.18%
241	284	Doug Oda	Doug	Oda		Grande	7:10:40.0	+3:05:30.9	+75.67%	56.92%	-26.39%	-28.47%
242	37	Keri Bergere	Keri	Bergere	Recycled Cycles Racing	Grande	7:10:40.9	+3:05:31.8	+75.68%	56.92%	-26.39%	-28.47%
243	91	Paul Conrad	Paul	Conrad		Grande	7:14:53.1	+3:09:44.0	+77.39%	56.37%	-27.63%	-29.73%
244	261	Joe Moore	Joe	Moore	N/A	Grande	7:18:53.2	+3:13:44.1	+79.03%	55.86%	-28.80%	-30.92%
245	365	Kyle Smith	Kyle	Smith		Grande	7:31:16.6	+3:26:07.5	+84.08%	54.32%	-32.44%	-34.62%
246	411	Manuel Wanskasmith	Manuel	Wanskasmith		Grande	7:33:16.6	+3:28:07.5	+84.90%	54.08%	-33.02%	-35.21%
247	21	Dan Austad	Dan	Austad		Grande	7:43:17.5	+3:38:08.4	+88.98%	52.92%	-35.96%	-38.20%
248	59	Lew Broxson	Lew	Broxson		Grande	8:02:15.0	+3:57:05.9	+96.71%	50.83%	-41.53%	-43.86%
249	286	Ron Ohnhaus	Ron	Ohnhaus	Farmers Insurance	Grande	8:27:41.6	+4:22:32.5	+107.09%	48.29%	-48.99%	-51.45%
-	134	Mimmo Futia	Mimmo	Futia		Grande	DNF	-	-	-	-	-
-	232	Mike Marino	Mike	Marino		Grande	DNF	-	-	-	-	-
-	249	Holly Miller	Holly	Miller		Grande	DNF	-	-	-	-	-
-	329	Mike Robson	Mike	Robson	Tenspeed Hero	Grande	DNF	-	-	-	-	-
-	339	Bruce Sanchez	Bruce	Sanchez		Grande	DNF	-	-	-	-	-
-	385	Ryder Thomas	Ryder	Thomas	Gene Johnson Cycling Team	Grande	DNF	-	-	-	-	-
-	388	Katie Thompson	Katie	Thompson	Breakfast Racing Team	Grande	DNF	-	-	-	-	-
